name,category,description,base_price,img,selling_price,stock_quantity
Calvin Klein Underwear 3-Pack,Clothing,Comfortable cotton boxer briefs,45.00,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=500,39.99,267
H&M Basic T-Shirt,Clothing,Essential cotton t-shirt in multiple colors,12.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,9.99,445
Zara Slim Fit Chinos,Clothing,Modern chino pants in stretch cotton,45.99,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=500,39.99,189
Uniqlo Heattech Long Sleeve,Clothing,Thermal base layer for cold weather,19.99,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=500,17.99,298
KitchenAid Stand Mixer,Home & Kitchen,Professional 5-quart stand mixer for baking,379.99,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=500,329.99,34
Instant Pot Duo 7-in-1,Home & Kitchen,Multi-functional pressure cooker and slow cooker,99.99,https://images.unsplash.com/photo-1585515656857-bb683c5d1132?w=500,89.99,78
Ninja Blender Professional,Home & Kitchen,High-performance blender for smoothies and food prep,149.99,https://images.unsplash.com/photo-1570197788417-0e82375c9371?w=500,129.99,92
Dyson V15 Detect,Home & Kitchen,Cordless vacuum cleaner with laser dust detection,749.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,649.99,23
iRobot Roomba 980,Home & Kitchen,Smart robot vacuum with WiFi connectivity,899.99,https://images.unsplash.com/photo-1586075010923-2dd4570fb338?w=500,799.99,45
Keurig K-Elite Coffee Maker,Home & Kitchen,Single-serve coffee maker with iced coffee capability,169.99,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=500,149.99,67
Cuisinart Food Processor,Home & Kitchen,14-cup food processor for meal preparation,199.99,https://images.unsplash.com/photo-1556909114-3e94ca2fbc04?w=500,179.99,56
Lodge Cast Iron Skillet,Home & Kitchen,Pre-seasoned 12-inch cast iron skillet,34.99,https://images.unsplash.com/photo-1506084868230-bb9d95c24759?w=500,29.99,145
Pyrex Glass Mixing Bowls,Home & Kitchen,Set of 3 glass mixing bowls with lids,29.99,https://images.unsplash.com/photo-1556909114-3e94ca2fbc04?w=500,24.99,189
OXO Good Grips Utensil Set,Home & Kitchen,Professional kitchen utensil set with comfortable grips,79.99,https://images.unsplash.com/photo-1556909114-3e94ca2fbc04?w=500,69.99,234
The Great Gatsby,Books,Classic American novel by F. Scott Fitzgerald,14.99,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,12.99,156
To Kill a Mockingbird,Books,Pulitzer Prize-winning novel by Harper Lee,15.99,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,13.99,198
1984 by George Orwell,Books,Dystopian social science fiction novel,13.99,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500,11.99,267
Harry Potter Complete Series,Books,Complete 7-book series by J.K. Rowling,149.99,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,129.99,89
The Catcher in the Rye,Books,Coming-of-age novel by J.D. Salinger,16.99,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500,14.99,134
Pride and Prejudice,Books,Classic romance novel by Jane Austen,12.99,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500,10.99,178
Lord of the Rings Trilogy,Books,Epic fantasy trilogy by J.R.R. Tolkien,59.99,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,49.99,67
Atomic Habits,Books,Self-help book about building good habits by James Clear,18.99,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500,16.99,245
The Psychology of Money,Books,Financial psychology book by Morgan Housel,17.99,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,15.99,189
Educated by Tara Westover,Books,Memoir about education and family,16.99,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,14.99,123
Fitbit Charge 5,Sports & Outdoors,Advanced fitness tracker with GPS and health monitoring,199.99,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=500,179.99,89
YETI Rambler Tumbler,Sports & Outdoors,Insulated stainless steel tumbler for hot and cold drinks,34.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,29.99,234
Wilson Tennis Racket Pro Staff,Sports & Outdoors,Professional tennis racket used by tour players,189.99,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=500,169.99,45
Spalding NBA Basketball,Sports & Outdoors,Official size basketball for indoor and outdoor play,29.99,https://images.unsplash.com/photo-1546519638-68e109498ffc?w=500,24.99,167
Coleman Camping Tent 4-Person,Sports & Outdoors,Waterproof dome tent for family camping,149.99,https://images.unsplash.com/photo-1504851149312-7a075b496cc7?w=500,129.99,56
REI Hiking Backpack,Sports & Outdoors,60-liter backpack for multi-day hiking trips,249.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,219.99,73
Hydro Flask Water Bottle,Sports & Outdoors,Vacuum insulated water bottle in multiple colors,39.99,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,34.99,298
Nike Training Mat,Sports & Outdoors,Non-slip exercise mat for yoga and workouts,49.99,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,44.99,145
Bowflex Adjustable Dumbbells,Sports & Outdoors,Space-saving adjustable dumbbells 5-52.5 lbs,349.99,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,299.99,23
Peloton Bike+,Sports & Outdoors,Interactive exercise bike with live classes,2495.00,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500,2195.00,8
L'Oreal Paris Revitalift Cream,Beauty,Anti-aging moisturizer with hyaluronic acid,24.99,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,21.99,189
CeraVe Foaming Facial Cleanser,Beauty,Gentle foaming cleanser for normal to oily skin,15.99,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,13.99,267
The Ordinary Niacinamide Serum,Beauty,10% niacinamide + 1% zinc serum for blemish-prone skin,7.90,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,6.90,345
Fenty Beauty Foundation,Beauty,Full coverage foundation in 50 shades,39.00,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500,34.99,156
MAC Lipstick Ruby Woo,Beauty,Matte red lipstick in iconic shade,20.00,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500,18.99,198
Urban Decay Eyeshadow Palette,Beauty,Highly pigmented eyeshadow palette with 12 shades,54.00,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500,49.99,89
Maybelline Great Lash Mascara,Beauty,Classic lengthening mascara in waterproof formula,7.99,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500,6.99,445
Olaplex Hair Treatment No. 3,Beauty,Bond-building hair treatment for damaged hair,28.00,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,25.99,123
Neutrogena Ultra Sheer Sunscreen,Beauty,Broad spectrum SPF 55 sunscreen lotion,11.99,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,9.99,234
Clinique Dramatically Different Moisturizer,Beauty,Oil-free moisturizing gel for combination skin,31.00,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,27.99,178
Tesla Model Y Accessories Kit,Automotive,Complete accessory kit for Tesla Model Y,299.99,https://images.unsplash.com/photo-1549399078-61db432ae7a6?w=500,269.99,34
Michelin Pilot Sport Tires,Automotive,High-performance summer tires for sports cars,899.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,799.99,45
Garmin DashCam 67W,Automotive,Wide-angle dashboard camera with voice control,199.99,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=500,179.99,67
WeatherTech Floor Mats,Automotive,Custom-fit all-weather floor protection,159.99,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=500,139.99,89
Chemical Guys Car Wash Kit,Automotive,Complete car detailing and wash kit,89.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,79.99,112
Thule Roof Cargo Box,Automotive,Aerodynamic roof box for extra storage,499.99,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=500,449.99,23
NOCO Genius Battery Charger,Automotive,Smart battery charger and maintainer,79.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,69.99,145
Armor All Tire Shine,Automotive,Tire shine spray for lasting gloss,12.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,10.99,298
Meguiar's Car Wax,Automotive,Premium carnauba car wax for deep shine,24.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,21.99,167
Black & Decker Jump Starter,Automotive,Portable jump starter with USB charging,89.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,79.99,78
Blue Yeti USB Microphone,Electronics,Professional USB microphone for streaming and podcasts,99.99,https://images.unsplash.com/photo-1590602847861-f357a9332bbc?w=500,89.99,134
Logitech MX Master 3 Mouse,Electronics,Advanced wireless mouse with precision scrolling,99.99,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500,89.99,156
Corsair Mechanical Keyboard,Electronics,RGB backlit mechanical gaming keyboard,149.99,https://images.unsplash.com/photo-1541140532154-b024d705b90a?w=500,129.99,67
ASUS Gaming Monitor 27-inch,Electronics,4K HDR gaming monitor with 144Hz refresh rate,699.99,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500,629.99,34
Webcam 1080p HD,Electronics,High-definition webcam for video calls and streaming,59.99,https://images.unsplash.com/photo-1590602847861-f357a9332bbc?w=500,49.99,189
Razer Gaming Headset,Electronics,Wireless gaming headset with 7.1 surround sound,149.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,129.99,89
SteelSeries Gaming Chair,Electronics,Ergonomic gaming chair with lumbar support,399.99,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=500,349.99,23
Cable Management Kit,Electronics,Complete cable management solution for desk setup,29.99,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,24.99,234
USB-C Hub Multiport,Electronics,7-in-1 USB-C hub with HDMI and charging,79.99,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500,69.99,145
Wireless Phone Charger,Electronics,Fast wireless charging pad for smartphones,39.99,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=500,34.99,267
LEGO Creator Expert Set,Toys & Games,Advanced building set for adult collectors,249.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,219.99,45
Monopoly Classic Board Game,Toys & Games,Classic property trading board game for families,19.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,16.99,178
Rubik's Cube 3x3,Toys & Games,Original color-matching puzzle cube,14.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,12.99,234
Chess Set Wooden Premium,Toys & Games,Handcrafted wooden chess set with storage,89.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,79.99,67
Jigsaw Puzzle 1000 Pieces,Toys & Games,Beautiful landscape jigsaw puzzle for adults,19.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,16.99,145
Nerf Blaster Elite 2.0,Toys & Games,Foam dart blaster with tactical accessories,24.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,21.99,198
Playing Cards Bicycle Standard,Toys & Games,Classic poker-size playing cards,4.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,3.99,445
Uno Card Game,Toys & Games,Fast-paced matching card game for all ages,9.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,7.99,356
Scrabble Word Game,Toys & Games,Classic crossword board game,24.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,21.99,123
Magic 8 Ball Fortune Teller,Toys & Games,Classic fortune-telling toy with mystic answers,12.99,https://images.unsplash.com/photo-1558877174-f72b2d64d6d9?w=500,9.99,189
Coffee Table Modern Glass,Home & Garden,Contemporary glass-top coffee table with metal frame,299.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,249.99,23
Throw Pillows Set of 2,Home & Garden,Decorative throw pillows in neutral colors,39.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,34.99,156
Table Lamp LED Adjustable,Home & Garden,Modern LED desk lamp with dimmer function,69.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,59.99,89
Area Rug 8x10 Persian Style,Home & Garden,Traditional Persian-style area rug for living room,199.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,169.99,34
Wall Art Canvas Print Set,Home & Garden,Set of 3 abstract canvas prints for wall decoration,79.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,69.99,67
Plant Pot Ceramic Large,Home & Garden,Large ceramic planter for indoor plants,49.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,42.99,123
Curtains Blackout Thermal,Home & Garden,Energy-efficient blackout curtains for bedroom,59.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,49.99,145
Mirror Wall Mounted Round,Home & Garden,Large round mirror with sleek metal frame,129.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,109.99,56
Storage Ottoman Fabric,Home & Garden,Multi-functional storage ottoman with removable top,89.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,79.99,78
Desk Organizer Bamboo,Home & Garden,Eco-friendly bamboo desk organizer with compartments,34.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,29.99,198
